cat,label,segment,next_segment,s_order,next_order,direction,azimuth,length,stright,sinusoid,elev_min,elev_max,s_drop,gradient,out_direction,out_azimuth,out_length,out_drop,out_gradient,tangent_dir,tangent_azimuth,next_direction,next_azimuth,area,lat,lon
37,,20,21,37,38,101.31,101.31,1570.79,1217.72,1.28994,1520.6,1513.1,7.5,0.00477468,101.31,101.31,1570.78,7.5,0.0047747,-57.2958,-57.2958,86.1859,86.1859,15241012.707489,51.4591666666667,-116.152916666667
38,,21,23,38,39,124.249,124.249,4960.74,4029.43,1.23113,1513.1,1498.8,14.2999,0.00288262,118.811,118.811,1725.32,4.69995,0.00272411,-57.2958,-57.2958,150.255,150.255,28018098.904311,51.395,-116.120416666667
39,,23,25,39,40,128.66,128.66,4295.86,3767.35,1.14029,1498.8,1486.6,12.2001,0.00283996,128.66,128.66,495.63,0,0,-57.2958,-57.2958,125.538,125.538,28672520.775109,51.3441666666667,-116.105833333333
40,,25,28,40,42,119.055,119.055,15741.3,13278.7,1.18545,1486.6,1430.5,56.1,0.00356388,129.56,129.56,2436.23,8.5,0.003489,-57.2958,-57.2958,111.801,111.801,112450824.455587,51.3116666666667,-116.025416666667
41,,41,37,41,45,32.9694,32.9694,4293.84,3704.72,1.15902,1471.9,1385.1,86.8,0.020215,56.3099,56.3099,934.407,10.5,0.0112371,-57.2958,-57.2958,74.0546,74.0546,5736510.222165,51.14,-115.69125
42,,28,30,42,43,108.825,108.825,7480.46,5826.46,1.28388,1430.5,1415.8,14.7,0.00196511,94.3987,94.3987,910.31,1.90002,0.00208723,-57.2958,-57.2958,108.435,108.435,64102347.530086,51.25,-115.886666666667
43,,30,32,43,44,111.595,111.595,3953.3,3302.78,1.19696,1415.8,1408.3,7.5,0.00189715,90,90,568.232,1,0.00175984,-57.2958,-57.2958,90,90,11116766.386447,51.2241666666667,-115.843333333333
44,,32,37,44,45,112.834,112.834,17462.9,11990.9,1.45634,1408.3,1385.1,23.2001,0.00132853,100.204,100.204,3682.7,1.70007,0.000461638,-57.2958,-57.2958,74.0546,74.0546,118200432.197334,51.1816666666667,-115.748333333333
45,,37,36,45,46,84.2894,84.2894,5698.83,3541.19,1.6093,1385.1,1380.2,4.8999,0.000859808,76.7595,76.7595,1400.62,0.0999756,7.13795e-05,-57.2958,-57.2958,93.8141,93.8141,27909390.475632,51.2008333333333,-115.661666666667
46,,36,35,46,47,78.9591,78.9591,3106.76,2501.93,1.24175,1380.2,1380.2,0,0,74.4759,74.4759,2610.44,0,0,-57.2958,-57.2958,98.1301,98.1301,9578836.29509,51.17,-115.60375
47,,35,-1,47,-1,104.744,104.744,1651.26,1200.4,1.37559,1380.2,,,,135,135,740.002,0,0,-57.2958,-57.2958,-57.2958,-57.2958,3722912.342883,51.1766666666667,-115.5725
