cat,label,segment,next_segment,s_order,next_order,direction,azimuth,length,stright,sinusoid,elev_min,elev_max,s_drop,gradient,out_direction,out_azimuth,out_length,out_drop,out_gradient,tangent_dir,tangent_azimuth,next_direction,next_azimuth,area,lat,lon
"45",,"37","36","45","46",84.2894,84.2894,5698.83,3541.19,1.6093,1385.1,1380.2,4.8999,0.000859808,76.7595,76.7595,1400.62,0.0999756,7.13795e-05,-57.2958,-57.2958,93.8141,93.8141,27909390.475632,51.2008333333333,-115.661666666667
"11",,"38","34","11","22",70.2777,70.2777,4206.31,3556.06,1.18286,1839.4,1735.1,104.3,0.0247961,90,90,626.934,44.7001,0.0712995,-57.2958,-57.2958,64.9831,64.9831,50383637.618559,51.1716666666667,-115.97875
"47",,"35","-1","47","-1",104.621,104.621,1935.61,1451.25,1.33375,1380.2,,,,90,90,349.685,0,0,-57.2958,-57.2958,-57.2958,-57.2958,3366163.837765,51.1766666666667,-115.57125
"35",,"40","36","35","46",329.036,149.036,3384.26,2972.67,1.13846,1535,1380.2,154.8,0.0457412,5.71059,5.71059,1011.1,19.8999,0.0196814,-57.2958,-57.2958,93.8141,93.8141,35174500.65904,51.1141666666667,-115.587916666667
"41",,"41","37","41","45",32.9694,32.9694,4293.84,3704.72,1.15902,1471.9,1385.1,86.8,0.020215,56.3099,56.3099,934.407,10.5,0.0112371,-57.2958,-57.2958,74.0546,74.0546,5736510.222165,51.14,-115.69125
"24",,"42","41","24","41",75.6997,75.6997,7282.18,6420.61,1.13419,1725.9,1471.9,254,0.0348797,45,45,547.67,22.4,0.0409006,-57.2958,-57.2958,18.4349,18.4349,64529533.179302,51.09,-115.790833333333
"29",,"43","41","29","41",326.31,146.31,4177.88,3921.02,1.06551,1565.6,1471.9,93.7,0.0224276,308.66,128.66,496.467,13.2,0.0265878,-57.2958,-57.2958,18.4349,18.4349,14634057.351642,51.115,-115.665
"8",,"39","34","8","22",344.055,164.055,3746.83,3296.78,1.13651,1901.5,1735.1,166.4,0.0444109,11.3099,11.3099,480.344,25,0.0520461,-57.2958,-57.2958,64.9831,64.9831,35232680.069095,51.1008333333333,-115.898333333333
"28",,"44","43","28","29",320.44,140.44,2493.99,2403.57,1.03762,1633.5,1565.6,67.9,0.0272255,320.44,140.44,2494,62.8,0.0251804,-57.2958,-57.2958,319.764,139.764,7825680.741053,51.0975,-115.65
"25",,"45","43","25","29",47.8156,47.8156,3643.24,3273.98,1.11279,1716.7,1565.6,151.1,0.0414741,34.6952,34.6952,1439.9,70,0.0486145,-57.2958,-57.2958,319.764,139.764,36266982.20797,51.0658333333333,-115.726666666667
"14",,"47","44","14","28",310.653,130.653,9915.39,9085.26,1.09137,1812.3,1633.5,178.8,0.0180326,306.741,126.741,6942.36,96.2,0.013857,-57.2958,-57.2958,321.843,141.843,74406588.61221,50.9966666666667,-115.59625
"23",,"46","44","23","28",26.5651,26.5651,2022.8,1943.97,1.04055,1732,1633.5,98.5,0.0486949,26.5651,26.5651,2022.8,98.4,0.0486455,-57.2958,-57.2958,321.843,141.843,31890732.584854,51.0458333333333,-115.676666666667
