cat,a_cat,a_label,a_segment,a_next_segment,a_s_order,a_next_order,a_direction,a_azimuth,a_length,a_stright,a_sinusoid,a_elev_min,a_elev_max,a_s_drop,a_gradient,a_out_direction,a_out_azimuth,a_out_length,a_out_drop,a_out_gradient,a_tangent_dir,a_tangent_azimuth,a_next_direction,a_next_azimuth,a_area,a_lat,a_lon,b_cat,b_value,b_label,test,area
47,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,45,5,,,26700.272279
48,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,39,7,,,293717.212475
49,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,48,3,,,5340.151837
50,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,44,5,,,21360.412586
51,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,41,4,,,74762.125711
52,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,49,5,,,21360.607349
53,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,54,4,,,154878.230875
54,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,37,7,,,37380.673331
55,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,47,8,,,53403.563331
56,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,53,5,,,5340.249217
57,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,46,3,,,6709789.575513
58,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,55,5,,,16020.747652
59,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,51,1,,,10680.595814
60,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,59,1,,,5340.443974
61,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,52,7,,,26701.635602
62,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,60,8,,,5340.443974
63,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,65,7,,,5340.541351
64,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,56,5,,,10680.790571
65,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,62,5,,,5340.443974
66,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,57,2,,,176237.767183
67,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,63,5,,,5340.443974
68,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,58,7,,,1121748.144663
69,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,64,1,,,5340.541351
70,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,66,7,,,26703.291006
71,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,50,9,,,2467981.950292
72,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,69,1,,,5340.638727
73,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,61,5,,,21362.165403
74,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,72,1,,,10681.472202
75,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,73,3,,,37386.418547
76,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,80,8,,,10681.666948
77,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,70,8,,,26703.485756
78,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,67,7,,,304430.818562
79,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,74,5,,,5340.736101
80,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,75,4,,,5340.736101
81,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,85,4,,,5340.833474
82,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,76,5,,,170913.292357
83,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,86,3,,,5340.833474
84,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,77,5,,,5340.736101
85,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,78,10,,,10681.666948
86,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,79,1,,,5340.833474
87,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,91,7,,,69434.145773
88,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,81,8,,,21363.626013
89,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,83,3,,,5340.833474
90,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,84,5,,,64090.585922
91,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,95,4,,,5340.930846
92,4,,2,4,4,13,211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667,87,5,,,5340.833474
93,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,71,7,,,37386.126434
94,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,88,4,,,892076.825473
95,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,89,1,,,5340.930846
96,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,100,3,,,10682.056434
97,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,102,10,,,5341.028217
98,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,82,8,,,21363.528641
99,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,92,3,,,5340.930846
100,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,93,4,,,774492.906865
